Min (MHz),Max (MHz),Primary Allocations UPPER (1),Primary Allocations UPPER (2),Primary Allocations UPPER (3),Primary Allocations UPPER (4),Primary Allocations UPPER (5),Primary Allocations UPPER (6),Primary Allocations UPPER (7),Primary Allocations UPPER (8)
0.495,0.505,MARITIME MOBILE,,,,,,,
0.505,0.5265,MARITIME MOBILE,AERONAUTICAL RADIONAVIGATION,,,,,,
0.5265,1.6065,BROADCASTING,,,,,,,
1.6065,1.625,FIXED,MARITIME MOBILE,LAND MOBILE,,,,,
1.625,1.635,RADIOLOCATION,,,,,,,
1.635,1.8,FIXED,MARITIME MOBILE,LAND MOBILE,,,,,
1.8,1.81,RADIOLOCATION,,,,,,,
1.81,1.83,FIXED,MOBILE EXCEPT AERONAUTICAL MOBILE,,,,,,
1.83,1.85,AMATEUR,,,,,,,
1.85,2,FIXED,MOBILE EXCEPT AERONAUTICAL MOBILE,,,,,,
2,2.025,FIXED,MOBILE EXCEPT AERONAUTICAL MOBILE,,,,,,
2.025,2.045,FIXED,MOBILE EXCEPT AERONAUTICAL MOBILE (R),,,,,,
2.045,2.16,FIXED,MARITIME MOBILE,LAND MOBILE,,,,,
2.16,2.17,RADIOLOCATION,,,,,,,
2.17,2.1735,MARITIME MOBILE,,,,,,,
2.1735,2.1905,MOBILE (DISTRESS AND CALLING),,,,,,,
2.1905,2.194,MARITIME MOBILE,,,,,,,
2.194,2.3,FIXED,MOBILE EXCEPT AERONAUTICAL MOBILE (R),,,,,,
2.3,2.498,FIXED,MOBILE EXCEPT AERONAUTICAL MOBILE (R),BROADCASTING,,,,,
2.498,2.501,STANDARD FREQUENCY AND TIME SIGNAL (2500 KHZ),,,,,,,
2.501,2.502,STANDARD FREQUENCY AND TIME SIGNAL,,,,,,,
2.502,2.625,FIXED,MOBILE EXCEPT AERONAUTICAL MOBILE (R),,,,,,
2.625,2.65,MARITIME MOBILE,MARITIME RADIONAVIGATION,,,,,,
2.65,2.85,FIXED,MOBILE EXCEPT AERONAUTICAL MOBILE (R),,,,,,
2.85,3.025,AERONAUTICAL MOBILE (R),,,,,,,
3.025,3.155,AERONAUTICAL MOBILE (OR),,,,,,,
3.155,3.2,FIXED,MOBILE EXCEPT AERONAUTICAL MOBILE,,,,,,
3.2,3.23,FIXED,MOBILE EXCEPT AERONAUTICAL MOBILE (R),BROADCASTING,,,,,
3.23,3.4,FIXED,MOBILE EXCEPT AERONAUTICAL MOBILE,BROADCASTING,,,,,
3.4,3.5,AERONAUTICAL MOBILE (R),,,,,,,
3.5,3.8,AMATEUR,FIXED,MOBILE EXCEPT AERONAUTICAL MOBILE,,,,,
3.8,3.9,FIXED,AERONAUTICAL MOBILE (OR),LAND MOBILE,,,,,
3.9,3.95,AERONAUTICAL MOBILE (OR),,,,,,,
3.95,4,FIXED,BROADCASTING,,,,,,
4,4.063,FIXED,MARITIME MOBILE,,,,,,
4.063,4.438,MARITIME MOBILE,,,,,,,
4.438,4.488,FIXED,MOBILE EXCEPT AERONAUTICAL MOBILE (R),,,,,,
4.488,4.65,FIXED,MOBILE EXCEPT AERONAUTICAL MOBILE (R),,,,,,
4.65,4.7,AERONAUTICAL MOBILE (R),,,,,,,
4.7,4.75,AERONAUTICAL MOBILE (OR),,,,,,,
4.75,4.85,FIXED,AERONAUTICAL MOBILE (OR),LAND MOBILE,BROADCASTING,,,,
4.85,4.995,FIXED,LAND MOBILE,BROADCASTING,,,,,
4.995,5.003,STANDARD FREQUENCY AND TIME SIGNAL (5000 KHZ),,,,,,,
5.003,5.005,STANDARD FREQUENCY AND TIME SIGNAL,,,,,,,
5.005,5.06,FIXED,BROADCASTING,,,,,,
5.06,5.25,FIXED,,,,,,,
5.25,5.275,FIXED,MOBILE EXCEPT AERONAUTICAL MOBILE,,,,,,
5.275,5.3515,FIXED,MOBILE EXCEPT AERONAUTICAL MOBILE,,,,,,
5.3515,5.3665,FIXED,MOBILE EXCEPT AERONAUTICAL MOBILE,,,,,,
5.3665,5.45,FIXED,MOBILE EXCEPT AERONAUTICAL MOBILE,,,,,,
5.45,5.48,FIXED,AERONAUTICAL MOBILE (OR),LAND MOBILE,,,,,
5.48,5.68,AERONAUTICAL MOBILE (R),,,,,,,
5.68,5.73,AERONAUTICAL MOBILE (OR),,,,,,,
5.73,5.9,FIXED,LAND MOBILE,,,,,,
5.9,5.95,BROADCASTING,,,,,,,
5.95,6.2,BROADCASTING,,,,,,,
6.2,6.525,MARITIME MOBILE,,,,,,,
6.525,6.685,AERONAUTICAL MOBILE (R),,,,,,,
6.685,6.765,AERONAUTICAL MOBILE (OR),,,,,,,
6.765,7,FIXED,MOBILE EXCEPT AERONAUTICAL MOBILE (R),,,,,,
7,7.05,FIXED,,,,,,,
7.05,7.1,AMATEUR,AMATEUR-SATELLITE,,,,,,
7.1,7.2,AMATEUR,FIXED,MOBILE EXCEPT AERONAUTICAL MOBILE (R),,,,,
7.2,7.3,BROADCASTING,,,,,,,
7.3,7.35,BROADCASTING,,,,,,,
7.35,7.4,BROADCASTING,FIXED,,,,,,
7.4,7.45,BROADCASTING,FIXED,,,,,,
7.45,8.1,FIXED,MOBILE EXCEPT AERONAUTICAL MOBILE (R),,,,,,
8.1,8.195,FIXED,MARITIME MOBILE,,,,,,
8.195,8.815,MARITIME MOBILE,,,,,,,
8.815,8.965,AERONAUTICAL MOBILE (R),,,,,,,
8.965,9.04,AERONAUTICAL MOBILE (OR),,,,,,,
9.04,9.305,FIXED,,,,,,,
9.305,9.355,FIXED,,,,,,,
9.355,9.4,FIXED,,,,,,,
9.4,9.5,BROADCASTING,,,,,,,
9.5,9.775,BROADCASTING,,,,,,,
9.775,9.9,BROADCASTING,,,,,,,
9.9,9.995,FIXED,,,,,,,
9.995,10.003,STANDARD FREQUENCY AND TIME SIGNAL (10000 KHZ),,,,,,,
10.003,10.005,STANDARD FREQUENCY AND TIME SIGNAL,,,,,,,
10.005,10.1,AERONAUTICAL MOBILE (R),,,,,,,
10.1,10.15,FIXED,,,,,,,
10.15,11.175,FIXED,,,,,,,
11.175,11.275,AERONAUTICAL MOBILE (OR),,,,,,,
11.275,11.4,AERONAUTICAL MOBILE (R),,,,,,,
11.4,11.6,FIXED,,,,,,,
11.6,11.65,BROADCASTING,,,,,,,
11.65,11.7,BROADCASTING,,,,,,,
11.7,11.975,BROADCASTING,,,,,,,
11.975,12.05,BROADCASTING,,,,,,,
12.05,12.1,BROADCASTING,,,,,,,
12.1,12.23,FIXED,,,,,,,
12.23,13.2,MARITIME MOBILE,,,,,,,
13.2,13.26,AERONAUTICAL MOBILE (OR),,,,,,,
13.26,13.36,AERONAUTICAL MOBILE (R),,,,,,,
13.36,13.41,FIXED,RADIO ASTRONOMY,,,,,,
13.41,13.45,FIXED,,,,,,,
13.45,13.55,FIXED,,,,,,,
13.55,13.57,FIXED,,,,,,,
13.57,13.6,BROADCASTING,,,,,,,
13.6,13.8,BROADCASTING,,,,,,,
13.8,13.87,BROADCASTING,,,,,,,
13.87,14,FIXED,,,,,,,
14,14.25,AMATEUR,AMATEUR-SATELLITE,,,,,,
14.25,14.35,AMATEUR,,,,,,,
14.35,14.99,FIXED,,,,,,,
14.99,15.005,STANDARD FREQUENCY AND TIME SIGNAL (15000 KHZ),,,,,,,
15.005,15.01,STANDARD FREQUENCY AND TIME SIGNAL,,,,,,,
15.01,15.1,AERONAUTICAL MOBILE (OR),,,,,,,
15.1,15.6,BROADCASTING,,,,,,,
15.6,15.8,BROADCASTING,,,,,,,
15.8,16.1,FIXED,,,,,,,
16.1,16.2,FIXED,,,,,,,
16.2,16.36,FIXED,,,,,,,
16.36,17.41,MARITIME MOBILE,,,,,,,
17.41,17.48,FIXED,,,,,,,
17.48,17.55,BROADCASTING,,,,,,,
17.55,17.9,BROADCASTING,,,,,,,
17.9,17.97,AERONAUTICAL MOBILE (R),,,,,,,
17.97,18.03,AERONAUTICAL MOBILE (OR),,,,,,,
18.03,18.052,FIXED,,,,,,,
18.052,18.068,FIXED,,,,,,,
18.068,18.168,AMATEUR,AMATEUR-SATELLITE,,,,,,
18.168,18.78,FIXED,,,,,,,
18.78,18.9,MARITIME MOBILE,,,,,,,
18.9,19.02,BROADCASTING,,,,,,,
19.02,19.68,FIXED,,,,,,,
19.68,19.8,MARITIME MOBILE,,,,,,,
19.8,19.99,FIXED,,,,,,,
19.99,19.995,STANDARD FREQUENCY AND TIME SIGNAL,,,,,,,
19.995,20.01,STANDARD FREQUENCY AND TIME SIGNAL (20000 KHZ),,,,,,,
20.01,21,FIXED,,,,,,,
21,21.45,AMATEUR,AMATEUR-SATELLITE,,,,,,
21.45,21.85,BROADCASTING,,,,,,,
21.85,21.87,FIXED,,,,,,,
21.87,21.924,FIXED,,,,,,,
21.924,22,AERONAUTICAL MOBILE (R),,,,,,,
22,22.855,MARITIME MOBILE,,,,,,,
22.855,23,FIXED,,,,,,,
23,23.2,FIXED,,,,,,,
23.2,23.35,FIXED,AERONAUTICAL MOBILE (OR),,,,,,
23.35,24,FIXED,MOBILE EXCEPT AERONAUTICAL MOBILE,,,,,,
24,24.45,FIXED,LAND MOBILE,,,,,,
24.45,24.6,FIXED,LAND MOBILE,,,,,,
24.6,24.89,FIXED,LAND MOBILE,,,,,,
24.89,24.99,AMATEUR,AMATEUR-SATELLITE,,,,,,
24.99,25.005,STANDARD FREQUENCY AND TIME SIGNAL (25000 KHZ),,,,,,,
25.005,25.01,STANDARD FREQUENCY AND TIME SIGNAL,,,,,,,
25.01,25.07,FIXED,MOBILE EXCEPT AERONAUTICAL MOBILE,,,,,,
25.07,25.21,MARITIME MOBILE,,,,,,,
25.21,25.55,FIXED,MOBILE EXCEPT AERONAUTICAL MOBILE,,,,,,
25.55,25.67,RADIO ASTRONOMY,,,,,,,
25.67,26.1,BROADCASTING,,,,,,,
26.1,26.175,MARITIME MOBILE,,,,,,,
26.175,26.2,FIXED,MOBILE EXCEPT AERONAUTICAL MOBILE,,,,,,
26.2,26.35,FIXED,MOBILE EXCEPT AERONAUTICAL MOBILE,,,,,,
26.35,27.5,FIXED,MOBILE EXCEPT AERONAUTICAL MOBILE,,,,,,
27.5,28,METEOROLOGICAL AIDS,FIXED,MOBILE,,,,,
28,29.7,AMATEUR,AMATEUR-SATELLITE,,,,,,
29.7,30.005,FIXED,MOBILE,,,,,,
30.005,30.01,SPACE OPERATION (SATELLITE IDENTIFICATION),FIXED,MOBILE,SPACE RESEARCH,,,,
30.01,37.5,FIXED,MOBILE,,,,,,
37.5,38.25,FIXED,MOBILE,,,,,,
38.25,39,FIXED,MOBILE,,,,,,
39,39.5,FIXED,MOBILE,,,,,,
39.5,39.986,FIXED,MOBILE,,,,,,
39.986,40.02,FIXED,MOBILE,,,,,,
40.02,40.98,FIXED,MOBILE,,,,,,
40.98,41.015,FIXED,MOBILE,,,,,,
41.015,42,FIXED,MOBILE,,,,,,
42,42.5,FIXED,MOBILE,,,,,,
42.5,44,FIXED,MOBILE,,,,,,
44,47,MOBILE,FIXED,,,,,,
47,50,FIXED,MOBILE EXCEPT AERONAUTICAL MOBILE,BROADCASTING,,,,,
50,52,FIXED,MOBILE EXCEPT AERONAUTICAL MOBILE,BROADCASTING,,,,,
52,68,FIXED,MOBILE EXCEPT AERONAUTICAL MOBILE,BROADCASTING,,,,,
68,74.8,FIXED,MOBILE EXCEPT AERONAUTICAL MOBILE,,,,,,
74.8,75.2,AERONAUTICAL RADIONAVIGATION,,,,,,,
75.2,87.5,FIXED,MOBILE EXCEPT AERONAUTICAL MOBILE,,,,,,
87.5,100,BROADCASTING,,,,,,,
100,108,BROADCASTING,,,,,,,
108,117.975,AERONAUTICAL RADIONAVIGATION,,,,,,,
117.975,137,AERONAUTICAL MOBILE (R),,,,,,,
137,137.025,SPACE OPERATION (SPACE-TO-EARTH),METEOROLOGICAL-SATELLITE (SPACE-TO-EARTH),MOBILE-SATELLITE (SPACE-TO-EARTH),AERONAUTICAL MOBILE (OR),SPACE RESEARCH (SPACE-TO-EARTH),,,
137.025,137.175,SPACE OPERATION (SPACE-TO-EARTH),METEOROLOGICAL-SATELLITE (SPACE-TO-EARTH),AERONAUTICAL MOBILE (OR),SPACE RESEARCH (SPACE-TO-EARTH),,,,
137.175,137.825,SPACE OPERATION (SPACE-TO-EARTH),METEOROLOGICAL-SATELLITE (SPACE-TO-EARTH),MOBILE-SATELLITE (SPACE-TO-EARTH),AERONAUTICAL MOBILE (OR),SPACE RESEARCH (SPACE-TO-EARTH),,,
137.825,138,SPACE OPERATION (SPACE-TO-EARTH),METEOROLOGICAL-SATELLITE (SPACE-TO-EARTH),AERONAUTICAL MOBILE (OR),SPACE RESEARCH (SPACE-TO-EARTH),,,,
138,143.6,AERONAUTICAL MOBILE (OR),,,,,,,
143.6,143.65,AERONAUTICAL MOBILE (OR),SPACE RESEARCH (SPACE-TO-EARTH),,,,,,
143.65,144,AERONAUTICAL MOBILE (OR),,,,,,,
144,146,AMATEUR,AMATEUR-SATELLITE,,,,,,
146,148,FIXED,MOBILE EXCEPT AERONAUTICAL MOBILE (R),,,,,,
148,149.9,FIXED,MOBILE EXCEPT AERONAUTICAL MOBILE (R),MOBILE-SATELLITE (EARTH-TO-SPACE),,,,,
149.9,150.05,MOBILE-SATELLITE (EARTH-TO-SPACE),,,,,,,
150.05,153,FIXED,MOBILE EXCEPT AERONAUTICAL MOBILE,RADIO ASTRONOMY,,,,,
153,154,FIXED,MOBILE EXCEPT AERONAUTICAL MOBILE (R),,,,,,
154,156.488,FIXED,MOBILE EXCEPT AERONAUTICAL MOBILE (R),,,,,,
156.488,156.563,MARITIME MOBILE (DISTRESS AND CALLING VIA DSC),,,,,,,
156.563,156.763,MOBILE EXCEPT AERONAUTICAL MOBILE (R),FIXED,,,,,,
156.763,156.787,MARITIME MOBILE,,,,,,,
156.787,156.813,MARITIME MOBILE (DISTRESS AND CALLING),,,,,,,
156.813,156.838,MARITIME MOBILE,,,,,,,
156.838,157.188,FIXED,MOBILE EXCEPT AERONAUTICAL MOBILE,,,,,,
157.188,157.338,FIXED,MOBILE EXCEPT AERONAUTICAL MOBILE,,,,,,
157.338,161.787,FIXED,MOBILE EXCEPT AERONAUTICAL MOBILE,,,,,,
161.787,161.938,FIXED,MOBILE EXCEPT AERONAUTICAL MOBILE,,,,,,
161.938,161.963,FIXED,MOBILE EXCEPT AERONAUTICAL MOBILE,,,,,,
161.963,161.988,FIXED,MOBILE EXCEPT AERONAUTICAL MOBILE,,,,,,
161.988,162.013,FIXED,MOBILE EXCEPT AERONAUTICAL MOBILE,,,,,,
162.013,162.037,FIXED,MOBILE EXCEPT AERONAUTICAL MOBILE,,,,,,
162.037,174,FIXED,MOBILE EXCEPT AERONAUTICAL MOBILE,,,,,,
174,223,BROADCASTING,,,,,,,
223,230,BROADCASTING,,,,,,,
230,235,FIXED,MOBILE,,,,,,
235,267,FIXED,MOBILE,,,,,,
267,272,FIXED,MOBILE,,,,,,
272,273,SPACE OPERATION (SPACE-TO-EARTH),FIXED,MOBILE,,,,,
273,312,FIXED,MOBILE,,,,,,
312,315,FIXED,MOBILE,,,,,,
315,322,FIXED,MOBILE,,,,,,
322,328.6,FIXED,MOBILE,RADIO ASTRONOMY,,,,,
328.6,335.4,AERONAUTICAL RADIONAVIGATION,,,,,,,
335.4,387,FIXED,MOBILE,,,,,,
387,390,FIXED,MOBILE,,,,,,
390,399.9,FIXED,MOBILE,,,,,,
399.9,400.05,MOBILE-SATELLITE (EARTH-TO-SPACE),,,,,,,
400.05,400.15,STANDARD FREQUENCY AND TIME SIGNAL-SATELLITE (400.1 MHZ),FIXED,MOBILE,,,,,
400.15,401,METEOROLOGICAL AIDS,METEOROLOGICAL-SATELLITE (SPACE-TO-EARTH),MOBILE-SATELLITE (SPACE-TO-EARTH),SPACE RESEARCH (SPACE-TO-EARTH),FIXED,MOBILE,,
401,402,METEOROLOGICAL AIDS,SPACE OPERATION (SPACE-TO-EARTH),EARTH EXPLORATION-SATELLITE (EARTH-TO-SPACE),METEOROLOGICAL-SATELLITE (EARTH-TO-SPACE),,,,
402,403,METEOROLOGICAL AIDS,EARTH EXPLORATION-SATELLITE (EARTH-TO-SPACE),METEOROLOGICAL-SATELLITE (EARTH-TO-SPACE),,,,,
403,406,METEOROLOGICAL AIDS,,,,,,,
406,406.1,MOBILE-SATELLITE (EARTH-TO-SPACE),,,,,,,
406.1,410,FIXED,MOBILE EXCEPT AERONAUTICAL MOBILE,RADIO ASTRONOMY,,,,,
410,420,FIXED,MOBILE EXCEPT AERONAUTICAL MOBILE,SPACE RESEARCH (SPACE-TO-SPACE),,,,,
420,430,FIXED,MOBILE EXCEPT AERONAUTICAL MOBILE,,,,,,
430,432,FIXED,MOBILE EXCEPT AERONAUTICAL MOBILE,AMATEUR,RADIOLOCATION,,,,
432,435,FIXED,MOBILE EXCEPT AERONAUTICAL MOBILE,AMATEUR,RADIOLOCATION,,,,
435,438,FIXED,AMATEUR,RADIOLOCATION,,,,,
438,440,MOBILE EXCEPT AERONAUTICAL MOBILE,FIXED,AMATEUR,RADIOLOCATION,,,,
440,450,FIXED,MOBILE EXCEPT AERONAUTICAL MOBILE,,,,,,
450,455,FIXED,MOBILE,,,,,,
455,456,FIXED,MOBILE,,,,,,
456,459,MOBILE,FIXED,,,,,,
459,460,FIXED,MOBILE,,,,,,
460,470,FIXED,MOBILE,,,,,,
470,582,BROADCASTING,FIXED,,,,,,
582,606,BROADCASTING,,,,,,,
606,614,BROADCASTING,RADIO ASTRONOMY,,,,,,
614,694,BROADCASTING,,,,,,,
694,790,MOBILE EXCEPT AERONAUTICAL MOBILE,,,,,,,
790,862,FIXED,MOBILE EXCEPT AERONAUTICAL MOBILE,,,,,,
862,890,FIXED,MOBILE EXCEPT AERONAUTICAL MOBILE,,,,,,
890,942,FIXED,MOBILE EXCEPT AERONAUTICAL MOBILE,,,,,,
942,960,FIXED,MOBILE EXCEPT AERONAUTICAL MOBILE,,,,,,
960,1164,AERONAUTICAL MOBILE (R),AERONAUTICAL RADIONAVIGATION,,,,,,
1164,1215,AERONAUTICAL RADIONAVIGATION,RADIONAVIGATION-SATELLITE (SPACE-TO-EARTH),RADIONAVIGATION-SATELLITE (SPACE-TO-SPACE),,,,,
1215,1240,EARTH EXPLORATION-SATELLITE (ACTIVE),RADIOLOCATION,RADIONAVIGATION-SATELLITE (SPACE-TO-EARTH),RADIONAVIGATION-SATELLITE (SPACE-TO-SPACE),SPACE RESEARCH (ACTIVE),FIXED,MOBILE,RADIONAVIGATION
1240,1300,EARTH EXPLORATION-SATELLITE (ACTIVE),RADIOLOCATION,RADIONAVIGATION-SATELLITE (SPACE-TO-EARTH),RADIONAVIGATION-SATELLITE (SPACE-TO-SPACE),SPACE RESEARCH (ACTIVE),FIXED,MOBILE,RADIONAVIGATION
1300,1350,RADIOLOCATION,AERONAUTICAL RADIONAVIGATION,RADIONAVIGATION-SATELLITE (EARTH-TO-SPACE),,,,,
1350,1400,FIXED,MOBILE,RADIOLOCATION,,,,,
1400,1427,EARTH EXPLORATION-SATELLITE (PASSIVE),RADIO ASTRONOMY,SPACE RESEARCH (PASSIVE),,,,,
1427,1429,FIXED,MOBILE EXCEPT AERONAUTICAL MOBILE,SPACE OPERATION (EARTH-TO-SPACE),,,,,
1429,1452,FIXED,MOBILE EXCEPT AERONAUTICAL MOBILE,,,,,,
1452,1492,FIXED,MOBILE EXCEPT AERONAUTICAL MOBILE,BROADCASTING,BROADCASTING-SATELLITE,,,,
1492,1518,FIXED,MOBILE EXCEPT AERONAUTICAL MOBILE,,,,,,
1518,1525,FIXED,MOBILE EXCEPT AERONAUTICAL MOBILE,MOBILE-SATELLITE (SPACE-TO-EARTH),,,,,
1525,1530,FIXED,MOBILE EXCEPT AERONAUTICAL MOBILE,MOBILE-SATELLITE (SPACE-TO-EARTH),SPACE OPERATION (SPACE-TO-EARTH),,,,
1530,1535,MOBILE-SATELLITE (SPACE-TO-EARTH),SPACE OPERATION (SPACE-TO-EARTH),,,,,,
1535,1540,MOBILE-SATELLITE (SPACE-TO-EARTH),,,,,,,
1540,1559,MOBILE-SATELLITE (SPACE-TO-EARTH),,,,,,,
1559,1610,AERONAUTICAL RADIONAVIGATION,RADIONAVIGATION-SATELLITE (SPACE-TO-EARTH),RADIONAVIGATION-SATELLITE (SPACE-TO-SPACE),,,,,
1610,1610.6,AERONAUTICAL RADIONAVIGATION,MOBILE-SATELLITE (EARTH-TO-SPACE),,,,,,
1610.6,1613.8,MOBILE-SATELLITE (EARTH-TO-SPACE),RADIO ASTRONOMY,AERONAUTICAL RADIONAVIGATION,,,,,
1613.8,1621.35,MOBILE-SATELLITE (EARTH-TO-SPACE),AERONAUTICAL RADIONAVIGATION,,,,,,
1621.35,1626.5,MARITIME MOBILE-SATELLITE (SPACE-TO-EARTH),MOBILE-SATELLITE (EARTH-TO-SPACE),AERONAUTICAL RADIONAVIGATION,,,,,
1626.5,1645.5,MOBILE-SATELLITE (EARTH-TO-SPACE),,,,,,,
1645.5,1646.5,MOBILE-SATELLITE (EARTH-TO-SPACE),,,,,,,
1646.5,1660,MOBILE-SATELLITE (EARTH-TO-SPACE),,,,,,,
1660,1660.5,MOBILE-SATELLITE (EARTH-TO-SPACE),RADIO ASTRONOMY,,,,,,
1660.5,1668,RADIO ASTRONOMY,SPACE RESEARCH (PASSIVE),,,,,,
1668,1668.4,MOBILE-SATELLITE (EARTH-TO-SPACE),RADIO ASTRONOMY,SPACE RESEARCH (PASSIVE),,,,,
1668.4,1670,METEOROLOGICAL AIDS,FIXED,MOBILE EXCEPT AERONAUTICAL MOBILE,MOBILE-SATELLITE (EARTH-TO-SPACE),RADIO ASTRONOMY,,,
1670,1675,METEOROLOGICAL AIDS,FIXED,METEOROLOGICAL-SATELLITE (SPACE-TO-EARTH),MOBILE,MOBILE-SATELLITE (EARTH-TO-SPACE),,,
1675,1690,METEOROLOGICAL AIDS,FIXED,METEOROLOGICAL-SATELLITE (SPACE-TO-EARTH),MOBILE EXCEPT AERONAUTICAL MOBILE,,,,
1690,1700,METEOROLOGICAL AIDS,METEOROLOGICAL-SATELLITE (SPACE-TO-EARTH),FIXED,MOBILE EXCEPT AERONAUTICAL MOBILE,,,,
1700,1710,FIXED,METEOROLOGICAL-SATELLITE (SPACE-TO-EARTH),MOBILE EXCEPT AERONAUTICAL MOBILE,,,,,
1710,1930,FIXED,MOBILE,,,,,,
1930,1970,FIXED,MOBILE,,,,,,
1970,1980,FIXED,MOBILE,,,,,,
1980,2010,FIXED,MOBILE,MOBILE-SATELLITE (EARTH-TO-SPACE),,,,,
2010,2025,FIXED,MOBILE,,,,,,
2025,2110,SPACE OPERATION (EARTH-TO-SPACE),SPACE OPERATION (SPACE-TO-SPACE),EARTH EXPLORATION-SATELLITE (EARTH-TO-SPACE),EARTH EXPLORATION-SATELLITE (SPACE-TO-SPACE),FIXED,MOBILE,SPACE RESEARCH (EARTH-TO-SPACE),SPACE RESEARCH (SPACE-TO-SPACE)
2110,2120,FIXED,MOBILE,,,,,,
2120,2160,FIXED,MOBILE,,,,,,
2160,2170,FIXED,MOBILE,,,,,,
2170,2200,FIXED,MOBILE,MOBILE-SATELLITE (SPACE-TO-EARTH),,,,,
2200,2290,SPACE OPERATION (SPACE-TO-EARTH),SPACE OPERATION (SPACE-TO-SPACE),EARTH EXPLORATION-SATELLITE (SPACE-TO-EARTH),EARTH EXPLORATION-SATELLITE (SPACE-TO-SPACE),FIXED,MOBILE,SPACE RESEARCH (SPACE-TO-EARTH),SPACE RESEARCH (SPACE-TO-SPACE)
2290,2300,FIXED,MOBILE EXCEPT AERONAUTICAL MOBILE,SPACE RESEARCH (DEEP SPACE),SPACE RESEARCH (SPACE-TO-EARTH),,,,
2300,2450,FIXED,MOBILE,,,,,,
2450,2483.5,FIXED,MOBILE,,,,,,
2483.5,2500,FIXED,MOBILE,MOBILE-SATELLITE (SPACE-TO-EARTH),RADIODETERMINATION-SATELLITE (SPACE-TO-EARTH),,,,
2500,2520,FIXED,MOBILE EXCEPT AERONAUTICAL MOBILE,,,,,,
2520,2655,FIXED,MOBILE EXCEPT AERONAUTICAL MOBILE,,,,,,
2655,2670,FIXED,MOBILE EXCEPT AERONAUTICAL MOBILE,,,,,,
2670,2690,FIXED,MOBILE EXCEPT AERONAUTICAL MOBILE,,,,,,
2690,2700,EARTH EXPLORATION-SATELLITE (PASSIVE),RADIO ASTRONOMY,SPACE RESEARCH (PASSIVE),FIXED,MOBILE EXCEPT AERONAUTICAL MOBILE,,,
2700,2900,AERONAUTICAL RADIONAVIGATION,,,,,,,
2900,3100,RADIOLOCATION,RADIONAVIGATION,,,,,,
3100,3300,RADIOLOCATION,,,,,,,
3300,3400,MOBILE,FIXED,RADIOLOCATION,,,,,
3400,3600,FIXED,FIXED-SATELLITE (SPACE-TO-EARTH),MOBILE EXCEPT AERONAUTICAL MOBILE,,,,,
3600,4200,FIXED,FIXED-SATELLITE (SPACE-TO-EARTH),,,,,,
4200,4400,AERONAUTICAL MOBILE (R),AERONAUTICAL RADIONAVIGATION,,,,,,
4400,4500,FIXED,MOBILE,,,,,,
4500,4800,FIXED,FIXED-SATELLITE (SPACE-TO-EARTH),MOBILE,,,,,
4800,4990,FIXED,MOBILE,,,,,,
5000,5010,AERONAUTICAL MOBILE-SATELLITE (R),AERONAUTICAL RADIONAVIGATION,RADIONAVIGATION-SATELLITE (EARTH-TO-SPACE),,,,,
